section,type,hint_image_url,data,should_instruction_be_translated,jumble_extra_words_comma,question_voices
header,icon_image_text,,Introduce Yourself,,,
header,title,,Intriduce Yourself,,,
config,voices,,Priya-Priya,,,
config,activity_type,,lesson,,,
config,display_activity_type,,Grammar Builder,,,
config,personas,,spoken-english-adults-level-A0,,,
config,description,,Learn how to introduce yourself,TRUE,,
config,populate,,TRUE,,,
config,populate_languages,,TRUE,,,
config,always_show_hint,,TRUE,,,
config,read_aloud_after_jumble,,TRUE,,,
config,reattempt_jumble,,TRUE,,,
config,english_language_toggle,,FALSE,,,
config,skip_transcription,,TRUE,,,
config,rich_chat,,TRUE,,,
config,key_skills,,"speaking,grammar",,,
config,chat_suggestions,,Yes! Let's Start.,,,
config,disable_skip,,FALSE,,,
config,tts_config,,"{""silent_mode"":false}",,,
config,badge_title,,Learn,,,
1,chat_lessons,,"message: Let us learn to introduce yourself clearly and confidently.
image_url: 
button_text: Next!

message: You will learn how to talk about details like your name, family, work, and hobbies.
image_url: 
button_text: Next!

message: Let's practice sentences on this topic.
image_url: 
button_text: Start Practice!

",,,
1,jumbles_listening_comprehension,https://r2-activity-data.gosupernova.live/system-uploads/scenario-data/21e10a38-75c6-4569-9aba-d96b91b8bc49-Structure---1.jpg,My&&name is Priya. I&&am a homemaker.,,,
1,jumbles_listening_comprehension,https://r2-activity-data.gosupernova.live/system-uploads/scenario-data/51c2db1e-da46-44a2-b553-e94c7cdf72f6-Structure---2.jpg,I live in Bangalore,,,
1,jumbles_listening_comprehension,https://r2-activity-data.gosupernova.live/system-uploads/scenario-data/6530a037-6233-4f0a-8f77-3f48b8ec8adc-Structure---3.jpg,Nice to meet&&you. What's your name?,,,
1,jumbles_listening_comprehension,https://r2-activity-data.gosupernova.live/system-uploads/scenario-data/587b3bac-9903-4d5a-9db8-00054f8df802-Structure---4.jpg,My husband works in banking,,,
1,jumbles_listening_comprehension,https://r2-activity-data.gosupernova.live/system-uploads/scenario-data/04457f54-5229-45ea-863a-1eae9ad92893-Structure---5.jpg,I enjoy watching&&movies in my free&&time,,,
1,section_type,,learn,,,
2,jumbles_translate_and_learn,https://r2-activity-data.gosupernova.live/system-uploads/scenario-data/21e10a38-75c6-4569-9aba-d96b91b8bc49-Structure---1.jpg,My&&name is Anitha. I&&am a teacher,,,
2,jumbles_translate_and_learn,https://r2-activity-data.gosupernova.live/system-uploads/scenario-data/51c2db1e-da46-44a2-b553-e94c7cdf72f6-Structure---2.jpg,I live in Chennai,,,
2,jumbles_translate_and_learn,https://r2-activity-data.gosupernova.live/system-uploads/scenario-data/6530a037-6233-4f0a-8f77-3f48b8ec8adc-Structure---3.jpg,Nice to meet&&you. What’s your name?,,,
2,jumbles_translate_and_learn,https://r2-activity-data.gosupernova.live/system-uploads/scenario-data/587b3bac-9903-4d5a-9db8-00054f8df802-Structure---4.jpg,My husband works in construction,,,
2,jumbles_translate_and_learn,https://r2-activity-data.gosupernova.live/system-uploads/scenario-data/04457f54-5229-45ea-863a-1eae9ad92893-Structure---5.jpg,I enjoy reading&&books in my free&&time,,,
2,jumbles_translate_and_learn,https://r2-activity-data.gosupernova.live/system-uploads/scenario-data/21e10a38-75c6-4569-9aba-d96b91b8bc49-Structure---1.jpg,My&&name is Ravi. I&&am a sales&&executive,,,
2,jumbles_translate_and_learn,https://r2-activity-data.gosupernova.live/system-uploads/scenario-data/51c2db1e-da46-44a2-b553-e94c7cdf72f6-Structure---2.jpg,I live in Coimbatore,,,
2,jumbles_translate_and_learn,https://r2-activity-data.gosupernova.live/system-uploads/scenario-data/6530a037-6233-4f0a-8f77-3f48b8ec8adc-Structure---3.jpg,Nice to meet&&you. What’s your name?,,,
2,jumbles_translate_and_learn,https://r2-activity-data.gosupernova.live/system-uploads/scenario-data/587b3bac-9903-4d5a-9db8-00054f8df802-Structure---4.jpg,My husband works in a private&&company,,,
2,jumbles_translate_and_learn,https://r2-activity-data.gosupernova.live/system-uploads/scenario-data/04457f54-5229-45ea-863a-1eae9ad92893-Structure---5.jpg,I enjoy walking in&&the&&park in my free&&time,,,
2,section_type,,practice,,,
3,roleplay,https://r2-activity-data.gosupernova.live/system-uploads/scenario-data/2c74d9ea-e815-4539-b61f-99a97d0898e2-Homemaker---Final.jpg,"first_message: Hey! Great job on understanding this concept. Now, ""translate"" 10 sentences to English. Are you ready to start?
prompt_id: 2b8c37a9-692f-42ac-8398-fe80471c6ce6
questions: ""Questions: (keep these common words in english - homemaker, Madurai, meet, name, IT, husband, nurse, Trichy, hospital, music, listen, cook, free time, enjoy etc )
1. My name is Meena. I am a homemaker
2. I live in Madurai
3. Nice to meet you. What’s your name?
4. My husband works in a IT
5. I enjoy cooking in my free time
6. My name is Karthika. I am a nurse
7. I live in Trichy
8. Nice to meet you. What’s your name
9. My husband works in a hospital
10. I enjoy listening to music in my free time""
grammar_concept:  """"
SYSTEM_TRANSLATION_RULES: """"",,,
3,section_type,,translate,,,
